402750779,Tammy Lawrence,1998-10-05
629825901,Lilian Cline,1931-02-10
207143692,Mosley Solis,1987-12-20
851716633,Lavonne Francis,2004-10-23
872206213,Cochran Rivera,1961-07-04
788448183,Ramirez Ellison,1981-02-07
67189130,Ashley Reyes,2001-05-11
611572672,Eleanor Salas,1929-07-19
672095675,Staci Bridges,2009-02-22
591927213,Katelyn Gaines,1978-04-25
848437364,Mamie Glass,1928-10-15
683588992,Angelita Hartman,1918-02-15
871915082,Valenzuela Meadows,1960-10-04
921956882,Berg Dalton,1930-08-06
551189555,Ortega Olsen,2010-12-15
93092683,Bright Mcclain,2000-11-06
232469722,Kelli Schneider,1960-02-16
239602085,Jaime Browning,1996-03-16
46462923,Irma Singleton,1997-12-01
944719781,Nichole Chase,1952-09-12
334159711,Madeline Mccarthy,1924-02-18
579813247,Neal Mullins,2009-01-30
542073424,Raquel Stewart,2004-03-31
890522150,Forbes Rhodes,1938-07-18
201505609,Guadalupe Donaldson,1930-02-09
17103329,Vera Price,1992-08-26
559682753,Murray Norton,1940-10-03
750611051,Chaney Ortiz,1986-04-15
636113909,Good Cohen,1986-03-21
202374020,Brewer Jensen,1915-07-13
785190208,Dianna Bonner,1997-07-08
917859777,Rachael Moss,1918-01-24
646311379,Ginger Schmidt,1993-12-23
531879685,Roberts Aguirre,1929-11-03
682237945,Latoya Curtis,1941-03-28
565074440,Burnett Odonnell,1925-09-11
464473159,Carolyn Harris,1985-06-21
624737926,Jacquelyn Tillman,1925-08-09
722054247,Beatrice Vance,1995-05-10
810646623,Nona Gentry,1947-03-20
748836494,Cortez Salazar,1937-08-07
169234812,Darlene Frazier,1962-06-29
547185189,Spence Bright,1935-09-06
854625293,Glenna Lambert,1968-03-21
618325674,Lupe Tate,1960-06-20
771831365,Burt Garrett,1967-02-28
295458149,Blevins Maynard,1957-04-21
649787364,Monique House,1969-01-04
195417456,Holly Langley,1959-02-02
253053977,Ruth Sanford,1957-12-09
705184317,Brenda Lamb,1916-06-21
972048539,Henderson Kline,1920-12-04
336948304,Krystal Emerson,1963-08-25
836347222,Mcdonald Frank,1942-04-17
477337975,Ella Dyer,1961-06-27
754034460,Marsha Clayton,2015-10-05
193805482,Kerry Jefferson,2011-10-06
946282187,Delgado Jennings,1930-04-09
688850995,Charles George,1924-09-08
264031943,Myers Hubbard,2001-02-14
170853914,Cheryl Pennington,1948-04-25
754245558,Richmond Pearson,1953-12-15
860229792,Ruby Fry,1935-03-03
166057117,Eve Burns,1964-08-13
772028370,Dorothy Beasley,1924-04-02
317287335,Kris Castillo,2008-09-07
525839646,Maureen Irwin,1974-12-14
649413117,Young Nolan,1997-10-20
679868462,Valeria Pope,2003-11-12
32775047,Pickett Carr,1930-06-24
898207739,Traci Dawson,1967-07-27
698465453,Pansy Beard,1989-01-14
257889136,Aileen Workman,1927-02-17
253491785,Murphy Wilkinson,2002-11-11
418371549,Sue Curry,1978-06-28
170436281,Anne Howell,1976-10-05
483464138,Justice Morrow,1923-02-02
238823312,Pearl Hull,1989-03-15
639643172,Alexandra Marquez,1916-09-07
670411365,Kasey Cantrell,1990-10-13
89553392,Sullivan Farmer,1924-06-24
167306233,Cheri Tanner,1969-11-15
53172639,Mclaughlin Travis,1958-05-11
249464964,Henrietta Spears,1966-01-23
436626776,Paul Baker,1945-11-22
711855021,Cooley Pace,1969-05-19
42175009,Victoria Meyers,1983-08-08
692437003,Earline Buchanan,1967-06-20
368328353,Yesenia Knapp,1924-04-12
664649270,Justine Coffey,1972-05-08
255036110,Karla Melendez,1964-08-29
662846579,Spears Fowler,1931-05-21
966384214,Sharpe Stokes,1992-08-22
302346416,Keith Hogan,1931-04-03
207730714,Davis Daniel,2004-02-25
133492074,Stacey Gardner,1954-09-30
797185202,Wendi Giles,1915-05-19
619586288,Jeannette Mcfadden,1976-09-21
952474575,Meadows Stuart,1933-01-28
467075215,Lee Herrera,1958-08-12
841373570,Winnie Sheppard,1990-11-15
197274547,Pratt Parks,2000-10-12
131288333,Celeste Gillespie,1992-01-15
131690911,Ross Buckner,1928-09-19
911027721,Stokes Aguilar,1934-04-05
331071416,Esmeralda Pugh,1954-06-19
667176556,Barron Reese,1957-09-10
376048263,Felecia Love,1978-10-19
899674157,Angelica Pena,1975-06-27
145870090,Joan Schwartz,1990-01-09
796118789,Kemp Harrell,1936-06-06
277630602,Hale Oneil,1978-03-30
750359072,Frederick Mccarty,1976-04-15
701425811,Tami Hayes,1970-09-30
990032443,Sheppard Vargas,1955-10-10
339263723,Greer Peck,2015-12-16
519583799,Terry Roy,1984-03-10
636692275,Merritt Berger,1957-02-22
714898908,Ashley England,1919-12-17
334541061,Fischer Alexander,1968-06-04
381649454,Lott Shelton,1937-10-04
618836268,Carey Church,1969-01-04
767744219,Schneider Knight,1954-11-27
312253451,Strickland Ware,1938-07-03
852265731,Ester Newton,1997-10-13
840734413,Donna Holman,1959-01-21
246134463,Long Beach,1927-01-21
620188294,Flora Ryan,1966-10-24
915156595,Gloria Barry,2002-10-22
972407469,Georgette Cotton,1997-11-04
952284418,Gibson Fletcher,1929-06-30
467599150,Lillie Klein,1947-11-18
102443512,Marylou Benjamin,1997-08-14
374318741,Key Vega,2008-10-18
284383444,Rosalinda Barrera,1952-11-27
921701870,Potter Horton,1995-06-12
926201833,Lacy Nieves,1990-11-13
991951498,Hines Grimes,1930-06-09
339918724,Blankenship Gordon,1961-05-21
342926613,Dunn Hodges,1924-07-17
372771211,Herrera Whitney,1934-03-24
193189165,Shelby Morse,1958-11-16
161219279,Twila Bryan,1934-11-16
63147752,Johnson Mcclure,1924-08-24
424953779,Holder Guy,1951-11-16
837748370,Mcfarland Mccray,1979-12-17
653557175,Shawn Foster,2006-01-11
669724856,Parker Johns,1928-01-14
864356194,Luna Petersen,1932-07-27
177860381,Farrell Parrish,1968-03-27
843123802,Marta Whitaker,1964-09-27
494317489,Brigitte Greer,1944-11-15
784022150,Jasmine Henderson,1968-01-15
629761034,Edwards Baldwin,1997-12-14
695448944,Enid Delacruz,1988-04-20
883285722,Sonia Allison,1920-08-23
446961995,Socorro Dickson,1971-01-03
214732040,Foley Barber,2008-06-03
773749943,Hurst Merrill,1949-03-27
532254984,Jennings Lawson,1951-11-07
276413925,Avila Baxter,1981-03-24
347238346,Beryl Watts,1922-03-20
522485284,Sheila Kelley,1965-01-10
554910574,Sallie Rios,1948-04-03
881468477,Lilia Wilkins,1916-05-04
833926700,Sarah Peterson,1927-04-16
940443827,Whitfield Boyle,1936-09-06
111091817,Madge Hancock,1951-11-27
117254277,Powell Neal,1984-02-28
282490003,Petty Horne,1918-03-28
867825844,Tricia Camacho,2015-03-21
245179465,Chavez Munoz,2012-04-20
228216626,Clayton Mendez,2012-09-03
714059851,Lindsey Kennedy,1993-12-18
16366220,England Sanchez,1922-09-24
173212275,Tamika Ochoa,1974-09-18
174124775,Wagner Hill,1926-05-19
983066480,Tina Weaver,1998-08-10
272212678,Wiggins Carpenter,1949-05-15
525129885,Dickerson Kirk,2005-09-29
204315444,Leach Keller,1921-12-24
606800879,Jane Sellers,1950-03-04
655403205,Valencia Holt,1998-08-31
70219247,Robbie Wright,1929-08-13
738520671,Meyers Hurst,1926-04-13
867028025,Macdonald Mullen,1942-09-24
633387458,Rosa Simon,1967-01-27
160839973,Haley Beck,2010-03-04
533438201,Carlene Valdez,2008-08-07
497733364,Moses Cabrera,1984-11-26
295705707,Noelle Odom,2009-09-12
590221861,Juanita Livingston,1968-05-31
16980419,Madden Franklin,1988-04-09
939236055,Selma Mills,1959-05-21
151076060,Le Gay,1974-10-25
703163455,Mays Lara,1960-01-10
